,id,title,description,publishedAt,channelTitle,channelId,categoryId,tags,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelViewCount,subscriberCount,hiddenSubscriberCount,videoCount,channelPublishedAt,customUrl,channelDescription,rank,dataTakenAt
1,o1igaMv46SY,FIFA 22 | Official Reveal Trailer,"Powered by Football™, FIFA 22 introduces HyperMotion - groundbreaking new gameplay technology on PlayStation 5, Xbox Series X|S and Stadia that elevates every moment on the pitch: http://x.ea.com/69205

Featuring FIFA 22 Cover Star Kylian Mbappé, and FIFA Ambassadors Heung-Min Son, Phil Foden, David Alaba, Trent Alexander-Arnold, and Christian Pulisic.

FIFA 22 releases October 1, 2021. Pre-order the FIFA 22 Ultimate Edition before August 11 and get an untradeable FUT Heroes player! http://x.ea.com/69206

TRACK
Young Dumb
Performed by Noisy

Subscribe to see more FIFA 21 videos: http://bit.ly/pzw4VD.

#FIFA22 #PoweredByFootball #HyperMotion",2021-07-11 15:30:10+00:00,EA SPORTS FIFA,UCoyaxd5LQSuP4ChkxK0pnZQ,20,"['Fifa', 'fifa 22', 'fifa22', 'fifa 22 trailer', 'fifa 22 official trailer', 'fifa 22 news', 'hypermotion', 'what is hypermotion', 'hyper motion', 'fifa 22 ps5', 'fifa 22 xbox series x', 'fifa 22 ps4', 'fifa 22 ps4 gameplay', 'fifa 22 xbox one', 'fifa 22 gameplay', 'fifa 22 cover star', 'fifa 22 pre-order', 'fifa 22 mbappe', 'fifa 22 reveal trailer', 'fifa 22 release date', 'fifa 22 cover', 'fifa 22 gameplay trailer', 'football video game', 'soccer video game']",1633454,103356,10635,8818,0,779478597,4110000,False,788,2009-07-26 17:48:32+00:00,easportsfifa,"Official EA SPORTS FIFA videos. 

Follow us on: 

https://plus.google.com/+easportsfifa 
http://www.facebook.com/easportsfifa
http://twitter.com/easportsfifa",1,2021-07-12 15:00:05.035468
2,OPL2qtcK8u0,Messi krönt seine Karriere! Di Maria mit dem goldenen Treffer | Argentinien - Brasilien,"Das Finale der Copa América zwischen Argentinien und Brasilien in der Zusammenfassung kommentiert von Christian Blunck. 


SPORTDIGITAL FUSSBALL bietet Dir wirklich alles rund um den internationalen Fußball: Egal ob LIVE, NEWS oder wertvolle INSIGHTS!

Mit uns kannst Du rund um die Uhr die internationalen Top Fußball-Ligen LIVE genießen, denn wir zeigen LIVE-Fußball-Spiele aus vielen unterschiedlichen Zeitzonen der Welt. Morgens Fußball aus Asien; mittags Fußball aus Zentral-Europa; nachmittags und abends aus West-Europa sowie nachts aus Mittel- und Südamerika.

Mit unserem täglichen Magazin „Transfermarkt TV“ bist Du immer auf dem neuesten Stand - Du erfährst alle aktuellen News über internationale Spieler, deren Marktwertentwicklungen und über mögliche Transfers sowie alle Neuigkeiten aus der Welt des Sports.

Außerdem bieten wir Dir jede Menge Hochglanz-Magazine und Dokus rund um den internationalen Fußball, so dass Du wertvolle Insights in die private Glanz- und Glamourwelt der internationalen Fußball-Megastars erhältst. Darüber hinaus bieten wir Dir jede Woche mit „SCOOORE!“ verschiedene Highlight-Shows aus unseren internationalen Topligen sowie ein wöchentliches Round Up zu den wirklich wichtigen Themen aus der Welt des Fußballs.

Aus den 16 SPORTDIGITAL FUSSBALL-Ligen und Wettbewerben zeigen wir Dir rund um die Uhr die besten LIVE-Spiele: Championship (England), Eredivisie (Niederlande), Liga NOS (Portugal), Fortuna Liga (Tschechien), MLS (Nordamerika), Copa Libertadores (Südamerika) und CONCACAF Champions League (Mittelamerika), Türkiye Kupasi (Türkei), Copa de la Liga Profesional (Argentinien), Copa do Brasil (Brasilien), A-League (Australien), J.League (Japan), K League (Südkorea) und AFC Cup (Asien).

So kannst du SPORTDIGITAL FUSSBALL empfangen:
Wir sind überall dabei. Meistens in HD und mit Zweikanalton. In Deutschland, Österreich und der Schweiz ist SPORTDIGITAL FUSSBALL in den Pay-TV Paketen über die Kabel- und IPTV-Anbieter sowie über Satellit, im Web und als App empfangbar. Wann und wo immer Du willst. Und hier findest Du die beste Empfangsmöglichkeit für SPORTDIGITAL FUSSBALL:

► Empfangswege von SPORTDIGITAL FUSSBALL: https://bit.ly/2Dm4hIB

► SPORTDIGITAL FUSSBALL im Live-Stream: https://bit.ly/2BaIhzv

___________________________________

Playlist 
► Highlights: https://www.youtube.com/playlist?list=PLsny0VeRMkSG2LQI2rMpuETXVPSr-eaWY

___________________________________

Social Media
► Facebook: https://bit.ly/2UH1ggR 
► Instagram: https://bit.ly/2GqL2Q6
► Twitter: https://bit.ly/2vamYus 
► Commentaro Facebook: http://bit.ly/2XhtZph
► Commentaro Instagram: http://bit.ly/2VQN0hO",2021-07-11 02:49:00+00:00,sportdigital FUSSBALL,UC-O69Nmy3jj55K0H4ZzPxtA,17,"['sportdigital', 'internationaler', 'fußball', 'deutscher', 'kommentar', 'copa america', 'finale', 'di maria', 'lionel messi', 'neymar', 'argentinien', 'brasilien', 'conmebol', 'de paul', 'paredes', 'otamendi', 'casemiro', 'ederson', 'martinez']",1038084,22639,356,2109,0,7964045,19500,False,1939,2007-06-04 12:12:51+00:00,sportdigital,"SPORTDIGITAL FUSSBALL bietet Dir wirklich alles rund um den internationalen Fußball: Egal ob LIVE, NEWS oder wertvolle INSIGHTS!

Mit uns kannst Du rund um die Uhr die internationalen Top Fußball-Ligen LIVE genießen, denn wir zeigen LIVE-Fußball-Spiele aus vielen unterschiedlichen Zeitzonen der Welt. Morgens Fußball aus Asien; mittags Fußball aus Zentral-Europa; nachmittags und abends aus West-Europa sowie nachts aus Mittel- und Südamerika. 

Mit unserem täglichen Magazin „Transfermarkt TV“ bist Du immer auf dem neuesten Stand. Außerdem bieten wir Dir jede Menge Hochglanz-Magazine und Dokus rund um den internationalen Fußball, so dass Du wertvolle Insights in die private Glanz- und Glamourwelt der internationalen Fußball-Megastars erhältst. Darüber hinaus bieten wir Dir jede Woche mit „SCOOORE!“ verschiedene Highlight-Shows aus unseren internationalen Topligen sowie ein wöchentliches Round Up zu den wirklich wichtigen Themen aus der Welt des Fußballs.",2,2021-07-12 15:00:05.035468
3,RuT79QaNrm8,Italien – England Highlights | UEFA EURO 2020 | sportstudio – ZDF,"Italien gewinnt in London das Finale der UEFA EURO 2020 und ist zum zweiten Mal Europameister. In einem dramatischen Elfmeterschießen verschießt Saka den entscheidenden Elfer.

Im Film „Schwarze Adler“ sprechen schwarze Fußballspieler*innen über ihre Erfahrungen im weißen DFB-Trikot. Welchen Weg haben sie hinter sich? Welchen Anfeindungen waren sie ausgesetzt? Ein Film, der zeigt, wie Fußball und Gesellschaft mit dem Thema Rassismus umgehen: https://kurz.zdf.de/aLs/ 

Perfektionierte Goalgetter und kreative Spezialisten, Klose und Müller: Stürmergrößen einst und heute, unsere Reportage: https://kurz.zdf.de/vij/

Hier könnt ihr unseren Kanal abonnieren: http://kurz.zdf.de/sportabo/ 
sportstudio bei Instagram https://www.instagram.com/sportstudio/ 
sportstudio bei TikTok https://www.tiktok.com/@sportstudio.de 
sportstudio bei Twitter https://twitter.com/sportstudio

Im Londoner Wembley-Stadion erleben 60.000 Zuschauer einen Blitzstart der Engländer. Nach knapp zwei Minuten kontern die Three Lions die Italiener perfekt aus. Trippier flankt an den zweiten Pfosten zu Shaw, der per Dropkick verwandelt. Damit geht England mit dem schnellsten Final-Tor der EM-Geschichte früh in Führung. Die Italiener tauchen erst kurz vor der Pause gefährlich vor dem gegnerischen Tor auf. Zunächst sucht Immobile den Abschluss, schießt jedoch Stones an. Verratti setzt nach und Torhüter Pickford pariert problemlos.

Nach der Pause bleibt es ein schnelles Spiel. Die Azzurri bleibt am Drücker und erarbeitet sich den verdienten Ausgleich. Nach einer Ecke kann Pickford zunächst kläre, bevor Bonucci aus kurzer Distanz abstauben kann. Die Italiener drücken weiter auf das Tor, kommen aber nicht mehr zum Abschluss. So geht es in die Verlängerung, in der auch England zurück in die Offensive findet. Ein Elfmeterschießen wollen beide verhindern, schaffen es in einer mittlerweile ausgeglichenen Partie jedoch nicht.

Im entscheidenden Elfmeterschießen zittern die Nerven. Erst geraten die Italiener ins Hintertreffen, dann verschießen die Engländer drei Elfmeter. Damit ist Italien erstmals seit 1968 wieder Europameister und gewinnt als erstes Team in einer EM zwei Elfmeterschießen.

✅ Berardi (2:1)
✅ Kane (2:2)
❌ Belotti (2:2)
✅ Maguire (2:3)
✅ Bonucci (3:3)
❌ Rashford (3:3)
✅ Bernadeschi (4:3)
❌ Sancho (4:3)
❌ Jorginho (4:3)
❌ Saka (4:3)

Reporter: Oliver Schmidt und Sandro Wagner

Die Aufstellungen:

Italien: 21 Donnarumma – 13 Emerson, 3 Chiellini, 19 Bonucci, 2 Di Lorenzo – 6 Verratti, 8 Jorginho, 18 Barella – 10 Insigne, 17 Immobile, 14 Chiesa
Trainer: Roberto Mancini

England: 1 Pickford – 3 Shaw, 6 Maguire, 5 Stones, 2 Walker, 12 Trippier – 4 Rice, 14 Phillips – 10 Sterling, 9 Kane, 19 Mount
Trainer: Gareth Southgate",2021-07-11 22:34:08+00:00,sportstudio,UCE0RhriywrL8XhXbo87tMKQ,17,"['Italien England', 'England Italien', 'Italien England EM 2020', 'Italien England EURO 2020', 'Italien England Highlights', 'Italien England EM Finale', 'EM Finale Italien', 'Italien EURO 2020', 'England EURO 2020', 'EM 2020', 'Sportstudio', 'ZDF', 'Luke Shaw', 'Leonardo Bunucci', 'Donnarumma', 'UEFA EURO 2020', 'EM 2020 Finale', 'Bukayo Saka', 'Gianluigi Donnarumma', 'EM 2020 Highlights', 'EM Finale Highlights', 'England EM Finale', 'EM Elfmeterschießen']",1003383,24689,595,6081,0,160066584,320000,False,1970,2006-11-04 07:43:56+00:00,sportstudio,"Willkommen auf dem offiziellen sportstudio-YouTube-Kanal. Das erwartet euch 2021 bei uns:

🖥 Regelmäßig Dokumentationen und Reportagen aus dem Sport
⚽️ Alle Spiele und Tore der UEFA Euro 2021 (Fußball-EM)
🤺 Die Highlights der Olympischen Sommerspiele und der Paralympics 2021
⛷ Die deutschen Erfolge im Wintersport

Mehr Reportagen, Dokus, Highlight-Clips und Sport-Videos findet ihr hier: kurz.zdf.de/u9Bz/

Wir lieben es, uns mit euch in den Kommentaren auszutauschen, sind offen für konstruktive Kritik und beantworten eure Fragen. Bitte bleibt dabei – und auch im Umgang miteinander – respektvoll und haltet euch an die Netiquette (den Link findet ihr unten). Wir behalten uns vor, Kommentare zu löschen, die gegen die Netiquette verstoßen.

Impressum
sportstudio ist Teil des ZDF
Zweites Deutsches Fernsehen
55100 Mainz, Germany",3,2021-07-12 15:00:05.035468
4,6tLxv5EsszA,HIGHLIGHTS ARGENTINA 1 - 0 BRASIL | COPA AMÉRICA 2021 | 10-07-21,"Fecha: 10 de julio de 2021
Estadio: Maracaná

Mira los mejores momentos del partido de Argentina y Brasil en la CONMEBOL Copa América 2021, por la final.

Suscríbete en nuestro canal: http://bit.ly/copaAmericA

Siga las otras redes sociales de CONMEBOL Copa América.

Facebook: https://www.facebook.com/CopaAmerica
Instagram: https://www.instagram.com/copaamerica/
Twitter: https://twitter.com/CopaAmerica",2021-07-11 03:10:03+00:00,Copa América,UCcDhPsZnQKMn_4DfDBuYg1Q,17,"['Copaamerica', 'copa america', 'copa america brasil', 'juegos de copa america', 'jogos da copa america', 'mejores momentos copa america', 'melhores momentos copa america', 'copa america no youtube', 'copa america en youtube', 'copa america en vivo', 'copa america ao vivo', 'partidas copa america', 'partidos copa america', 'conmebol copa america', 'copaamerica 2021', 'copa america 2021', 'messi', 'argentina copa america 2021', 'argentina campeón', 'argentina campeão', 'messi copa america', 'argentina copa america']",9066203,157848,4043,13225,0,99224578,704000,False,252,2019-08-27 20:53:35+00:00,copaamerica,"Canal oficial de CONMEBOL Copa América. Aquí puedes encontrar todo sobre el torneo de selecciones más antiguo del mundo.

Canal oficial da CONMEBOL Copa América. Aqui você encontra tudo sobre o torneio de seleções mais antigo do mundo.

The Official CONMEBOL Copa América Channel.  Here you  find everything about the oldest national team tournament in the world.

CONMEBOL COPA AMÉRICA, desde 1916.",4,2021-07-12 15:00:05.035468
5,RTpWYWIfP7Y,WATCH LIVE: Virgin Galactic Unity 22 Spaceflight Livestream,"Join us July 11th for our first fully crewed rocket powered test flight, and the beginning of a new space age. 

Aboard #Unity22 will be our team of two pilots and four mission specialists, including Sir Richard Branson. They will put our Future Astronaut spaceflight experience to a final test, while giving the world a preview of the life-changing experience.

Subscribe to Virgin Galactic on YouTube: https://virg.in/GalacticYouTube",2021-07-11 17:00:43+00:00,Virgin Galactic,UClcvOr7LV8tlJwJvkNMmnKg,24,[],7234868,101420,3835,2892,0,15053432,255000,False,52,2006-09-18 23:21:20+00:00,virgingalactic,"Welcome to Virgin Galactic's YouTube Channel! The Official Home of Virgin Galactic Footage.

Subscribe to Virgin Galactic on YouTube to keep up to date with the latest videos: https://virg.in/GalacticYouTube",5,2021-07-12 15:00:05.035468
6,DaWt0e8vwM0,England fans mourn Euro 2020 final heartbreak after penalty shoot-out,"England fans were left devastated after their national team's first major tournament final in 55 years ends in defeat.

Fanzones across the country erupted in joy early in the match when Luke Shaw scored a goal to put England ahead of Italy.

After a tense round of penalty shoot-outs, England fans watched in agony as Italy were declared the 2020 European Champions.

Read more here: https://www.telegraph.co.uk/euro-2021/2021/07/11/england-vs-italy-euro-final-live-2020-score-result-wembley/

Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH

Get the latest headlines: https://www.telegraph.co.uk/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",2021-07-11 23:13:16+00:00,The Telegraph,UCPgLNge0xqQHWM5B5EFH9Cg,25,"['Telegraph', 'News']",544232,8508,462,0,0,1769933289,2200000,False,25623,2006-11-19 00:03:44+00:00,telegraph,"The latest news videos, opinion pieces, animations and series content from the Telegraph, covering world events, sports, entertainment, technology, motoring, food, fashion, beauty, travel and more.

Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH

Visit the Telegraph website: http://www.telegraph.co.uk/

Like us on Facebook: https://www.facebook.com/TELEGRAPH.CO.UK

Follow us on Twitter: https://twitter.com/Telegraph",6,2021-07-12 15:00:05.035468
7,nwdwqcgF1fg,"""This guy is a dirtbag!"" Dustin Poirier on Conor McGregor after heated UFC 264 main event.","Dustin Poirier talks to Joe Rogan about Conor McGregor, the trash talk between the two and his win at UFC 264.

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Get a BT Sport Monthly Pass now! - http://bit.ly/BTSportMonthlyPass​ 

Visit and subscribe to our 'BT Sport Boxing' YouTube channel ➡️ http://www.youtube.com/c/btsportboxing​

Twitter: http://twitter.com/btsport​
Facebook: http://www.facebook.com/btsport​
Instagram:http://instagram.com/btsport​
Website: http://sport.bt.com",2021-07-11 04:43:13+00:00,BT Sport,UC4i_9WvfPRTuRWEaWyfKuFw,17,"['UFC', 'MMA', 'BT Sport', 'BT UFC', 'UFC 264', 'Conor McGregor', 'Dustin Poirier', 'UFC 257', 'UFC 178', 'McGregor', 'Poirier', 'Poorier', 'Connor', 'Macgregor', 'las vegas', 'open mat', 'dan hardy', 'bt sport ufc']",5747692,70694,4808,13120,0,2072672371,3700000,False,7980,2013-01-02 14:09:35+00:00,btsport,"At the heart of sport... 

Subscribe to BT Sport's free YouTube channel and get closer to the biggest names in the world of sport.

We'll bring you goals, tries, 'How To' tutorials, amazing pieces of skill and unmissable moments from, Premier League, UFC, MotoGP, Premiership Rugby, European Football and more. 

We'll also bring you the best bits and highlights from our shows and documentaries including, UEFA Champions League and Europa League football, Boxing, WWE, UFC, Gallagher Premiership rugby, MotoGP and BT Sport Films.
 
Subscribe now: http://po.st/btsport.",7,2021-07-12 15:00:05.035468
8,4oTPdB9YTf0,"""What are you doing bro? That's disgusting!"" Dustin Poirier heated interview after UFC 264","Dustin Poirier speaks to Caroline Pearce after a heated victory at UFC 264 against Conor McGregor.

Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.

Get a BT Sport Monthly Pass now! - http://bit.ly/BTSportMonthlyPass​ 

Visit and subscribe to our 'BT Sport Boxing' YouTube channel ➡️ http://www.youtube.com/c/btsportboxing​

Twitter: http://twitter.com/btsport​
Facebook: http://www.facebook.com/btsport​
Instagram:http://instagram.com/btsport​
Website: http://sport.bt.com",2021-07-11 07:21:24+00:00,BT Sport,UC4i_9WvfPRTuRWEaWyfKuFw,17,"['BT Sport', 'BT UFC', 'Connor', 'Conor McGregor', 'Dustin Poirier', 'MMA', 'Macgregor', 'McGregor', 'Poirier', 'Poorier', 'UFC', 'UFC 178', 'UFC 257', 'UFC 264', 'bt sport ufc', 'dan hardy', 'las vegas', 'open mat']",2633808,37568,1561,8085,0,2072672371,3700000,False,7980,2013-01-02 14:09:35+00:00,btsport,"At the heart of sport... 

Subscribe to BT Sport's free YouTube channel and get closer to the biggest names in the world of sport.

We'll bring you goals, tries, 'How To' tutorials, amazing pieces of skill and unmissable moments from, Premier League, UFC, MotoGP, Premiership Rugby, European Football and more. 

We'll also bring you the best bits and highlights from our shows and documentaries including, UEFA Champions League and Europa League football, Boxing, WWE, UFC, Gallagher Premiership rugby, MotoGP and BT Sport Films.
 
Subscribe now: http://po.st/btsport.",8,2021-07-12 15:00:05.035468
9,n36IqbvZ8ZA,Cool Musical Sound Effects on Different Instruments #shorts,"Cool Musical Sound Effects on Multiple Instruments #shorts

Instagram: http://instagram.com/joeporterpercussion
Facebook: http://Facebook.com/joeporterpercussion
Website: http://www.joeporteronline.com

Instruments used in this video:
Thunder sheet, wind machine, marching machine, waterphone, bass drum, cymbal, timpani (timpanum), ocean drum",2021-07-06 04:10:27+00:00,Joe Porter,UCnvzajWXCAOAq_Y1jNLFQXg,10,"['Sound effects', 'Instrument sound effects', 'Different instruments', 'Musical instruments', 'Musical sound effects', 'Different sound effects', 'Different musical sound effects', 'Cool musical sound effects', 'Cool musical sound effects on different instruments', 'Cool musical sound effects on different instruments #shorts', 'Thunder sheet', 'Marching machine', 'Wind machine', 'Waterphone', 'Bass drum', 'Whale sounds', 'Timpanum', 'Timpani', 'Cymbal', 'Ocean drum']",5006391,445375,5836,2986,0,13863051,102000,False,76,2008-02-18 19:54:45+00:00,joeporterpercussion,"- Multi Award Winning Canadian Percussionist, Composer and Teacher
- Ludwig-Musser, Salyers Percussion, Dream Cymbals & Gongs, and Grover Pro Percussion Artist.
- See Website below for albums, sheet music of original compositions, Two books on playing Marimba with Six Mallets, and Two books for Drum set :)

- Feel free to reach out to me at any time, I would love to hear from you!

",9,2021-07-12 15:00:05.035468
10,W83tvTlzuzE,Euro 2020 final: Italy and England fans react to final penalty kick,"Fans across the UK and Italy react as the final goal sealed Italy as the winner of the Euro 2020 final. England and Italy were locked in extra-time. Leonardo Bonucci equalised in the second half for Italy after Luke Shaw scored for England after 117 seconds - the fastest goal ever scored in a European Championship final

Subscribe to Guardian Football ► http://is.gd/GuardianFootball

Italy crush England’s dreams after winning Euro 2020 on penalties ► https://www.theguardian.com/football/2021/jul/11/italy-crush-england-dreams-after-winning-euro-2020-on-penalties

England fans force way into Wembley without tickets for Euro 2020 final ► https://www.theguardian.com/football/2021/jul/11/euro-2020-final-wembley-fans-break-barrier-england-italy

The Guardian's comprehensive coverage of the Euros is made possible by our global community of supporters. If you value independent sports reporting, and would like to see it continue, please consider making a contribution today from as little as $1. It only takes a minute. Thank you! ► https://bit.ly/3yK734T

Website ► https://www.theguardian.com
Facebook ► https://www.facebook.com/theguardian
Twitter ► https://twitter.com/guardian
Instagram ► https://www.instagram.com/guardian",2021-07-11 23:15:32+00:00,Guardian Sport,UCwD9E_QNwFwrQC7OnPnrg2Q,17,"['2021', 'Euro 2020', 'celebrate', 'celebration', 'donnarumma', 'england champions', 'england fans', 'england fans reaction', 'england italy', 'england vs italy', 'euros fan reaction', 'euros final', 'euros final reaction', 'fan reaction', 'fan reaction live', 'fans', 'fans react', 'football', 'gdnpfpsportfootball', 'gdnpfpsportother', 'guardian football', 'italy', 'italy champions', 'italy fans', 'italy fans reaction', 'jorginho', 'kane', 'maguire', 'penalties', 'penalty', 'penalty shootout', 'rashford', 'saka', 'sancho', 'sport', 'italy fans celebration', 'wahey']",565162,7454,140,1918,0,102067063,108000,False,1014,2014-10-24 08:37:28+00:00,guardiansportvideo,"Welcome to the Guardian Sport Youtube channel, where you can find content and coverage of non-football sports.

For the Guardian Football channel, please visit https://www.youtube.com/user/GuardianFootball",10,2021-07-12 15:00:05.035468
